day,date,open,high,low,close,volume
1,1/2/2020,126.619,127.4819,126.4034,127.013,3148461
2,1/3/2020,125.2778,126.4877,125.2684,126,2373470
3,1/6/2020,125.1371,125.9062,124.9308,125.7749,2421128
4,1/7/2020,125.3904,126.5815,125.1184,125.8593,3267592
5,1/8/2020,126.1594,127.4256,125.6061,126.9098,4345952
6,1/9/2020,127.3131,128.2979,126.9098,128.251,3730549
7,1/10/2020,128.4949,129.3109,127.8477,128.2041,3255398
8,1/13/2020,127.0692,128.1572,126.6847,128.1197,3162843
9,1/14/2020,127.8196,128.6252,127.1349,127.3881,3680958
10,1/15/2020,127.5569,129.4844,127.2849,128.1385,4045591
11,1/16/2020,128.795,129.611,128.5042,129.414,4319896
12,1/17/2020,128.0634,129.7423,127.707,129.7235,5622251
13,1/21/2020,129.2546,130.699,129.0576,130.5301,7130819
14,1/22/2020,134.4225,136.7392,133.7003,134.9571,16464948
15,1/23/2020,135.2479,135.4446,133.3251,134.0004,5654308
16,1/24/2020,134.4882,134.9853,131.7401,131.8339,5579292
17,1/27/2020,129.9017,131.3733,129.5266,130.0143,4165146
18,1/28/2020,130.8397,131.7494,130.1362,130.8866,3449000
19,1/29/2020,130.5301,130.9147,129.0529,129.142,3053189
20,1/30/2020,128.2698,128.4667,126.5909,128.2791,5007038
21,1/31/2020,134.0286,135.1072,132.0496,134.8071,18987138
22,2/3/2020,135.2948,138.1367,134.9665,137.1894,8886414
23,2/4/2020,138.6056,140.1063,137.7615,139.8531,5619700
24,2/5/2020,140.8848,147.6659,140.8285,146.6248,14379714
25,2/6/2020,145.5644,147.3559,144.2649,145.5087,8394374
26,2/7/2020,146.4861,147.4244,144.9411,145.4055,6414553
27,2/10/2020,144.9885,146.3818,143.671,146.3723,5237553
28,2/11/2020,147.0263,147.1211,144.7614,145.4719,3833574
29,2/12/2020,145.7278,147.4813,145.5098,147.2064,4437792
30,2/13/2020,146.3154,146.7514,145.4055,146.2586,3819757
31,2/14/2020,146.3628,146.4955,141.9555,142.8369,6095081
32,2/18/2020,141.9744,143.4815,141.8322,143.2161,3343038
33,2/19/2020,143.6331,143.9648,142.4673,142.9886,2732905
34,2/20/2020,142.9412,143.7089,141.709,143.3298,2880483
35,2/21/2020,143.1592,143.1592,141.074,142.0218,3536740
36,2/24/2020,137.9177,140.3252,137.7945,138.7897,5447948
37,2/25/2020,138.8656,139.3963,133.8904,134.316,6210878
38,2/26/2020,135.4439,136.5434,132.3161,132.4583,5407690
39,2/27/2020,130.0792,131.4536,126.0699,126.1647,8404903
40,2/28/2020,123.198,124.2501,119.7669,123.3592,13009236
41,3/2/2020,123.9279,127.4253,121.274,127.2926,8528971
42,3/3/2020,127.4632,128.994,121.1318,122.1744,7893390
43,3/4/2020,124.7146,127.2737,122.2692,127.2168,4994682
44,3/5/2020,123.6909,125.3875,121.7479,122.7905,5445193
45,3/6/2020,120.0892,121.6341,118.0229,121.0654,8192525
46,3/9/2020,113.8904,116.023,111.1607,111.663,10750357
47,3/10/2020,116.3737,118.3641,109.72,118.2599,11403865
48,3/11/2020,114.6961,116.1842,110.3112,111.8147,8446480
49,3/12/2020,103.9288,104.071,96.9433,97.4457,12485925
50,3/13/2020,103.0094,103.4644,95.55,102.3175,12493419
51,3/16/2020,92.8867,101.8057,90.0432,93.9103,10564044
52,3/17/2020,95.3605,101.7915,92.0336,101.0853,8887501
53,3/18/2020,94.2231,101.355,94.2136,98.1471,8751994
54,3/19/2020,96.9907,98.2798,93.1094,95.1046,8391294
55,3/20/2020,95.6543,95.7207,89.7683,90.4128,10543213
56,3/23/2020,89.6641,92.6402,85.8349,89.8252,9718602
57,3/24/2020,94.7728,100.5072,94.0809,99.9764,7967768
58,3/25/2020,99.9764,106.6091,97.4646,100.3271,8646557
59,3/26/2020,101.3318,107.2462,100.0617,106.9997,7153135
60,3/27/2020,102.9146,105.6823,102.0284,102.3933,6421470
61,3/30/2020,102.4502,107.54,102.1848,107.0377,5562501
62,3/31/2020,106.1562,107.8717,104.4217,105.142,6342167
63,4/1/2020,100.8105,104.1847,99.0674,99.6541,6111890
64,4/2/2020,99.8721,104.5638,99.6541,104.2605,6327540
65,4/3/2020,103.2369,104.3269,99.4456,100.7915,4538113
66,4/6/2020,104.5923,109.5968,104.3838,108.829,7026457
67,4/7/2020,112.6014,113.3312,108.8764,108.9428,5592463
68,4/8/2020,110.2413,113.7009,109.07,113.0658,5155987
69,4/9/2020,114.1937,116.5064,113.8972,115.1605,5576210
70,4/13/2020,115.2837,115.4448,111.881,114.8288,5118777
71,4/14/2020,117.0182,118.6485,116.2221,117.4448,5087292
72,4/15/2020,112.9047,113.9143,110.6678,112.4971,5632156
73,4/16/2020,112.8004,113.5018,108.4499,109.6916,6438128
74,4/17/2020,113.0753,114.1084,111.7673,113.8525,4964018
75,4/20/2020,112.9331,116.4529,111.9758,114.1274,7965530
76,4/21/2020,108.0518,111.0327,106.2131,110.6678,14341304
77,4/22/2020,113.6156,114.0515,111.4166,113.0848,7085901
78,4/23/2020,113.3312,116.6107,112.9047,115.0183,6873899
79,4/24/2020,116.023,118.4779,114.4623,118.2125,4985575
80,4/27/2020,119.0087,120.3641,118.9234,119.3499,4920443
81,4/28/2020,121.3498,121.5109,118.8381,119.6816,4775867
82,4/29/2020,122.1554,122.563,120.8759,121.9754,5252734
83,4/30/2020,119.9186,120.6294,118.6864,119.0087,6630032
84,5/1/2020,116.7623,117.0277,115.0562,115.5112,4923913
85,5/4/2020,114.516,115.606,113.1615,115.3311,4016551
86,5/5/2020,116.9519,117.8334,116.0799,116.1842,3897761
87,5/6/2020,116.8097,117.5775,116.023,116.7434,3861081
88,5/7/2020,118.1305,118.3995,116.0845,116.4495,4412047
89,5/8/2020,117.8328,118.3707,116.2862,118.1401,5002450
90,5/11/2020,117.0067,118.582,115.9116,117.7559,3533382
91,5/12/2020,118.1594,119.4177,115.5178,115.5178,4779635
92,5/13/2020,115.22,115.2584,110.3211,111.1664,5874676
93,5/14/2020,110.0522,112.4728,107.401,112.3383,5255607
94,5/15/2020,111.3585,112.761,110.7054,112.3671,4785773
95,5/18/2020,115.1528,117.535,115.0279,116.7665,4205425
96,5/19/2020,116.4111,117.3525,115.4025,115.5466,3239964
97,5/20/2020,116.1614,117.6367,115.8444,116.5936,3840563
98,5/21/2020,116.219,116.9202,114.2787,114.4227,4018329
99,5/22/2020,114.6629,114.7541,112.9531,113.7215,4179906
100,5/26/2020,116.5168,117.7847,116.2383,116.9586,5467436
101,5/27/2020,119.0527,120.8681,118.6012,120.5896,5725163
102,5/28/2020,121.8671,121.9632,119.3216,119.6194,3915224
103,5/29/2020,118.7933,120.1958,117.4197,119.9748,7929905
104,6/1/2020,119.7251,120.7913,119.1391,119.9652,2867306
105,6/2/2020,120.7145,121.0314,119.7443,121.0314,2976908
106,6/3/2020,122.1361,124.4847,121.992,123.9612,3913804
107,6/4/2020,122.7413,123.8651,122.0112,123.8075,3864131
108,6/5/2020,128.6055,128.9369,126.5547,126.8525,5892718
109,6/8/2020,127.0542,130.5218,127.0542,130.397,5368387
110,6/9/2020,128.2549,128.3318,125.8535,126.67,5391520
111,6/10/2020,126.9389,127.0158,124.6816,124.7488,4725055
112,6/11/2020,121.0603,121.1275,113.1886,113.3565,11753674
113,6/12/2020,116.4688,118.265,114.5764,117.1027,6218003
114,6/15/2020,114.49,117.5417,113.6255,116.853,5148756
115,6/16/2020,120.0709,122.4723,118.3034,120.215,5605791
116,6/17/2020,120.8681,121.2716,118.534,119.2544,3153862
117,6/18/2020,118.1497,119.4945,117.5062,119.264,2860286
118,6/19/2020,121.1947,121.8191,117.4293,117.6406,8098994
119,6/22/2020,117.3044,117.6695,115.7771,116.2959,4762601
120,6/23/2020,117.1988,118.0537,114.5284,114.7013,6628278
121,6/24/2020,113.6543,113.6543,111.3105,111.8292,6747421
122,6/25/2020,112.1558,114.5092,111.5218,114.3363,6128720
123,6/26/2020,113.5967,114.2979,111.6755,112.5689,10749166
124,6/29/2020,113.3277,115.0567,112.7418,115.0279,4157205
125,6/30/2020,114.49,116.4207,114.3075,116.0077,3916381
126,7/1/2020,115.5274,116.4447,113.7023,113.8656,4657168
127,7/2/2020,114.9703,116.632,114.5572,114.9799,3745663
128,7/6/2020,116.4688,117.0451,114.7493,115.4506,4044188
129,7/7/2020,114.3075,114.7974,112.7033,112.9435,4278088
130,7/8/2020,113.4045,113.9617,111.8868,113.0683,5191792
131,7/9/2020,113.3469,113.3469,110.6573,111.1472,4760875
132,7/10/2020,110.9455,113.8943,110.7438,113.6831,4285088
133,7/13/2020,115.0567,116.219,113.9809,114.4996,4644595
134,7/14/2020,113.9425,116.1229,113.2701,115.8444,4531393
135,7/15/2020,117.5734,119.0719,117.3333,118.1497,4470095
136,7/16/2020,117.8424,119.5714,117.3429,119.1199,4328856
137,7/17/2020,119.4849,120.676,118.3419,120.1765,3983972
138,7/20/2020,121.0987,122.0593,120.2054,121.3869,9737157
139,7/21/2020,125.988,126.9581,120.8393,121.0891,15356679
140,7/22/2020,120.9354,124.3646,120.8393,123.5962,8193578
141,7/23/2020,124.0092,124.2686,122.1361,122.309,4218034
142,7/24/2020,121.4925,122.6124,120.5512,120.8297,3529769
143,7/27/2020,119.9364,121.3388,119.7923,121.2332,3732800
144,7/28/2020,120.8585,121.358,119.2544,119.5618,4176788
145,7/29/2020,119.6482,121.0218,119.1776,120.3783,2832750
146,7/30/2020,118.8317,119.0187,116.8434,118.0537,3976453
147,7/31/2020,117.8712,118.1401,116.3151,118.0921,5277437
148,8/3/2020,118.63,119.5041,117.3333,119.4081,3526102
149,8/4/2020,118.9374,120.897,118.9374,120.8778,3466073
150,8/5/2020,121.7327,121.7519,119.6963,120.5031,3673282
151,8/6/2020,120.0709,121.2812,120.0709,121.1467,3412800
152,8/7/2020,120.1775,121.7052,119.8953,121.5982,3650966
153,8/10/2020,122.0458,123.8168,121.817,123.6903,3967810
154,8/11/2020,125.2959,126.9599,123.2038,123.34,4993853
155,8/12/2020,124.1769,124.352,122.4895,123.2914,3529730
156,8/13/2020,122.5713,122.9897,121.4133,121.6663,3166679
157,8/14/2020,120.8586,122.182,120.5764,121.8998,2963384
158,8/17/2020,121.8804,122.2112,121.063,121.0922,3357281
159,8/18/2020,121.6371,122.1237,120.8976,121.5593,2881226
160,8/19/2020,121.4717,122.1237,120.1775,120.5083,3741620
161,8/20/2020,119.8855,120.7029,119.506,119.8369,2560174
162,8/21/2020,119.7006,120.1621,119.0195,119.8466,3383511
163,8/24/2020,120.4597,122.6686,120.0412,122.2988,4068562
164,8/25/2020,122.6102,123.4081,121.1408,121.2868,2976635
165,8/26/2020,121.5884,121.7539,120.6154,120.8294,3388266
166,8/27/2020,121.2479,121.7344,120.6445,121.2965,3421698
167,8/28/2020,121.5982,121.929,120.8768,121.7052,3099623
168,8/31/2020,121.8804,121.8804,119.7201,119.9926,4824775
