subno sex aw an cxew cxen
8 F 41.1667 42.2917 41.5536 39.4447
9 F 41.619 45.1304 41.803 43.173
10 F 38.7083 37.2083 38.7615 39.4606
11 F 38.5833 37.5417 38.22 38.214
12 F 38.125 38.875 38.6709 39.4718
13 F 42.8333 43.0417 42.7684 42.6061
14 F 35.7917 38.3333 36.8816 37.8219
15 F 33.3158 34.3125 30.0319 29.4278
25 M 44.625 42.7727 44.5337 43.3814
26 M 39.8261 41.875 42.2875 42.6104
27 M 40.2174 41.125 42.7546 42.9607
28 M 30.1176 34.4118 33.6941 31.9481
29 M 43.25 42.625 44.6222 44.6203
30 M 47.9048 49.1739 49.8551 49.8009
31 M 39.1304 38.0833 39.9209 39.7252
32 M 42.5217 46.0833 42.6268 42.7801
